127.0.0.1 - - [26/May/2015:23:38:45 +1200] "GET / HTTP/1.1" 404 951
192.168.1.70 - - [26/May/2015:23:43:09 +1200] "GET /BreadCrumbs/rest/User/GetAllPinnedTrailsForAUser/0 HTTP/1.1" 200 97
192.168.1.70 - - [26/May/2015:23:43:09 +1200] "GET /BreadCrumbs/rest/TrailManager/GetAllTrailPoints/36 HTTP/1.1" 200 12
192.168.1.70 - - [26/May/2015:23:43:09 +1200] "GET /BreadCrumbs/rest/login/getAllCrumbsForATrail/36 HTTP/1.1" 200 126
192.168.1.70 - - [26/May/2015:23:43:11 +1200] "GET /BreadCrumbs/images/0P.jpg HTTP/1.1" 404 1001
192.168.1.70 - - [26/May/2015:23:43:15 +1200] "GET /BreadCrumbs/images/0P.jpg HTTP/1.1" 404 1001
192.168.1.70 - - [26/May/2015:23:43:18 +1200] "GET /BreadCrumbs/images/0P.jpg HTTP/1.1" 404 1001
192.168.1.70 - - [26/May/2015:23:43:34 +1200] "GET /BreadCrumbs/rest/User/GetAllPinnedTrailsForAUser/0 HTTP/1.1" 200 97
192.168.1.70 - - [26/May/2015:23:43:34 +1200] "GET /BreadCrumbs/rest/TrailManager/GetAllTrailPoints/36 HTTP/1.1" 200 12
192.168.1.70 - - [26/May/2015:23:43:34 +1200] "GET /BreadCrumbs/rest/login/getAllCrumbsForATrail/36 HTTP/1.1" 200 126
192.168.1.70 - - [26/May/2015:23:43:56 +1200] "GET /BreadCrumbs/images/0P.jpg HTTP/1.1" 404 1001
192.168.1.70 - - [26/May/2015:23:44:00 +1200] "GET /BreadCrumbs/images/0P.jpg HTTP/1.1" 404 1001
192.168.1.70 - - [26/May/2015:23:44:08 +1200] "GET /BreadCrumbs/images/0P.jpg HTTP/1.1" 404 1001
192.168.1.70 - - [26/May/2015:23:46:39 +1200] "GET /BreadCrumbs/images/0P.jpg HTTP/1.1" 404 1001
