127.0.0.1 - - [23/Jul/2015:20:01:25 +1200] "GET / HTTP/1.1" 404 951
192.168.1.69 - - [23/Jul/2015:20:02:40 +1200] "GET /BreadCrumbs/rest/TrailManager/GetAllTrailIds HTTP/1.1" 200 46
192.168.1.69 - - [23/Jul/2015:20:03:54 +1200] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/23 HTTP/1.1" 200 129
192.168.1.69 - - [23/Jul/2015:20:03:54 +1200] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/19 HTTP/1.1" 200 118
192.168.1.69 - - [23/Jul/2015:20:03:54 +1200] "GET /BreadCrumbs/images/22P.jpg HTTP/1.1" 404 1003
192.168.1.69 - - [23/Jul/2015:20:03:55 +1200] "GET /BreadCrumbs/images/7P.jpg HTTP/1.1" 404 1001
192.168.1.69 - - [23/Jul/2015:20:03:56 +1200] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/8 HTTP/1.1" 200 119
192.168.1.69 - - [23/Jul/2015:20:03:56 +1200] "GET /BreadCrumbs/images/7P.jpg HTTP/1.1" 404 1001
192.168.1.69 - - [23/Jul/2015:20:35:22 +1200] "GET /BreadCrumbs/rest/TrailManager/GetAllTrailIds HTTP/1.1" 200 46
192.168.1.69 - - [23/Jul/2015:20:35:22 +1200] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/23 HTTP/1.1" 200 129
192.168.1.69 - - [23/Jul/2015:20:35:22 +1200] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/19 HTTP/1.1" 200 118
192.168.1.69 - - [23/Jul/2015:20:35:22 +1200] "GET /BreadCrumbs/images/22P.jpg HTTP/1.1" 404 1003
192.168.1.69 - - [23/Jul/2015:20:35:22 +1200] "GET /BreadCrumbs/images/7P.jpg HTTP/1.1" 404 1001
192.168.1.69 - - [23/Jul/2015:20:35:25 +1200] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/8 HTTP/1.1" 200 119
