127.0.0.1 - - [13/Jul/2015:21:03:31 +1200] "GET / HTTP/1.1" 404 951
192.168.1.74 - - [13/Jul/2015:21:04:03 +1200] "GET /BreadCrumbs/rest/TrailManager/GetAllTrailIds HTTP/1.1" 200 23
192.168.1.74 - - [13/Jul/2015:21:04:05 +1200] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/15 HTTP/1.1" 200 149
192.168.1.74 - - [13/Jul/2015:22:37:45 +1200] "GET /BreadCrumbs/rest/TrailManager/GetAllTrailIds HTTP/1.1" 200 23
192.168.1.74 - - [13/Jul/2015:22:37:45 +1200] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/15 HTTP/1.1" 200 149
192.168.1.74 - - [13/Jul/2015:22:38:45 +1200] "GET /BreadCrumbs/rest/TrailManager/GetAllTrailIds HTTP/1.1" 200 23
192.168.1.74 - - [13/Jul/2015:22:38:45 +1200] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/15 HTTP/1.1" 200 149
192.168.1.74 - - [13/Jul/2015:22:41:17 +1200] "GET /BreadCrumbs/rest/TrailManager/GetAllTrailIds HTTP/1.1" 200 23
192.168.1.74 - - [13/Jul/2015:22:41:17 +1200] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/15 HTTP/1.1" 200 149
192.168.1.74 - - [13/Jul/2015:22:45:31 +1200] "GET /BreadCrumbs/rest/TrailManager/GetAllTrailIds HTTP/1.1" 200 23
192.168.1.74 - - [13/Jul/2015:22:45:32 +1200] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/15 HTTP/1.1" 200 149
192.168.1.74 - - [13/Jul/2015:23:27:50 +1200] "GET /BreadCrumbs/rest/TrailManager/GetAllTrailIds HTTP/1.1" 200 23
192.168.1.74 - - [13/Jul/2015:23:27:51 +1200] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/15 HTTP/1.1" 200 149
192.168.1.74 - - [13/Jul/2015:23:28:22 +1200] "GET /BreadCrumbs/rest/TrailManager/GetAllTrailIds HTTP/1.1" 200 23
192.168.1.74 - - [13/Jul/2015:23:28:23 +1200] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/15 HTTP/1.1" 200 149
