127.0.0.1 - - [03/Feb/2016:14:41:32 +1300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [03/Feb/2016:14:42:56 +1300] "GET /Canvas/home.html HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [03/Feb/2016:14:42:56 +1300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [03/Feb/2016:14:43:06 +1300] "GET /BreadCrumbs/rest/login/GetAllTrails HTTP/1.1" 200 4228
192.168.1.93 - - [03/Feb/2016:14:54:03 +1300] "GET /BreadCrumbs/images/.jpg HTTP/1.1" 404 997
192.168.1.93 - - [03/Feb/2016:14:54:03 +1300] "GET /BreadCrumbs/images/.jpg HTTP/1.1" 404 997
192.168.1.93 - - [03/Feb/2016:14:54:03 +1300] "GET /BreadCrumbs/images/.jpg HTTP/1.1" 404 997
192.168.1.93 - - [03/Feb/2016:14:54:04 +1300] "GET /BreadCrumbs/images/3493.jpg HTTP/1.1" 404 1005
192.168.1.93 - - [03/Feb/2016:14:54:06 +1300] "GET /BreadCrumbs/images/T.jpg HTTP/1.1" 404 999
192.168.1.93 - - [03/Feb/2016:14:54:06 +1300] "GET /BreadCrumbs/images/3418T.jpg HTTP/1.1" 404 1007
192.168.1.93 - - [03/Feb/2016:14:54:07 +1300] "GET /BreadCrumbs/images/3404.jpg HTTP/1.1" 404 1005
192.168.1.93 - - [03/Feb/2016:14:54:09 +1300] "GET /BreadCrumbs/images/0.jpg HTTP/1.1" 404 999
192.168.1.93 - - [03/Feb/2016:14:54:09 +1300] "GET /BreadCrumbs/images/3497T.jpg HTTP/1.1" 404 1007
192.168.1.93 - - [03/Feb/2016:14:54:10 +1300] "GET /BreadCrumbs/images/3416.jpg HTTP/1.1" 404 1005
192.168.1.93 - - [03/Feb/2016:14:54:11 +1300] "GET /BreadCrumbs/images/3492.jpg HTTP/1.1" 404 1005
192.168.1.93 - - [03/Feb/2016:14:54:13 +1300] "GET /BreadCrumbs/images/3404.jpg HTTP/1.1" 404 1005
192.168.1.93 - - [03/Feb/2016:14:54:14 +1300] "GET /BreadCrumbs/images/3493.jpg HTTP/1.1" 404 1005
192.168.1.93 - - [03/Feb/2016:14:54:15 +1300] "GET /BreadCrumbs/images/.jpg HTTP/1.1" 404 997
192.168.1.93 - - [03/Feb/2016:14:54:16 +1300] "GET /BreadCrumbs/images/3418T.jpg HTTP/1.1" 404 1007
192.168.1.93 - - [03/Feb/2016:14:54:16 +1300] "GET /BreadCrumbs/images/3416T.jpg HTTP/1.1" 404 1007
192.168.1.93 - - [03/Feb/2016:14:54:18 +1300] "GET /BreadCrumbs/images/3497T.jpg HTTP/1.1" 404 1007
192.168.1.93 - - [03/Feb/2016:14:54:18 +1300] "GET /BreadCrumbs/images/3497T.jpg HTTP/1.1" 404 1007
192.168.1.93 - - [03/Feb/2016:14:54:18 +1300] "GET /BreadCrumbs/images/3418T.jpg HTTP/1.1" 404 1007
192.168.1.93 - - [03/Feb/2016:14:54:18 +1300] "GET /BreadCrumbs/images/T.jpg HTTP/1.1" 404 999
192.168.1.93 - - [03/Feb/2016:14:56:38 +1300] "GET /BreadCrumbs/rest/login/CreateNewUser/Red/0000/0/M/chtOrsYtimk:APA91bH-rjpbzi0bchJNeo3Gwbexo8o6XF07O8gZeVexPaX1BXh3qBuBHDjHK_351ta9xne0d9I77mDd8XRgCcO5bgOSgr3lFuiAqwWwFpRQ1vi_uwdJlg2TGUll5ab8-le_MGLKWDHj HTTP/1.1" 200 13
192.168.1.93 - - [03/Feb/2016:14:56:39 +1300] "GET /BreadCrumbs/rest/TrailManager/GetAllTrailIds HTTP/1.1" 200 363
192.168.1.93 - - [03/Feb/2016:14:56:39 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/null/CoverPhotoId HTTP/1.1" 500 3549
192.168.1.93 - - [03/Feb/2016:14:56:39 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/null/CoverPhotoId HTTP/1.1" 500 3549
192.168.1.93 - - [03/Feb/2016:14:56:39 +1300] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/238 HTTP/1.1" 200 132
192.168.1.93 - - [03/Feb/2016:14:56:39 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/238/Description HTTP/1.1" 200 25
192.168.1.93 - - [03/Feb/2016:14:56:39 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/238/Views HTTP/1.1" 200 11
192.168.1.93 - - [03/Feb/2016:14:56:39 +1300] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/215 HTTP/1.1" 200 116
192.168.1.93 - - [03/Feb/2016:14:56:39 +1300] "GET /BreadCrumbs/images/0.jpg HTTP/1.1" 404 999
192.168.1.93 - - [03/Feb/2016:14:56:39 +1300] "GET /BreadCrumbs/images/%3Chtml%3E%3Chead%3E%3Ctitle%3EApache%20Tomcat/7.0.64%20-%20Error%20report%3C/title%3E%3Cstyle%3E%3C!--H1%20%7Bfont-family:Tahoma,Arial,sans-serif%3Bcolor:white%3Bbackground-color: HTTP/1.1" 404 1349
192.168.1.93 - - [03/Feb/2016:14:56:39 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/215/Description HTTP/1.1" 200 13
192.168.1.93 - - [03/Feb/2016:14:56:39 +1300] "GET /BreadCrumbs/images/216.jpg HTTP/1.1" 404 1003
192.168.1.93 - - [03/Feb/2016:14:56:39 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/215/Views HTTP/1.1" 200 12
192.168.1.93 - - [03/Feb/2016:14:56:39 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/237/CoverPhotoId HTTP/1.1" 200 -
192.168.1.93 - - [03/Feb/2016:14:56:39 +1300] "GET /BreadCrumbs/rest/login/GetPropertyFromNode/214/CoverPhotoId HTTP/1.1" 200 -
192.168.1.93 - - [03/Feb/2016:14:56:39 +1300] "GET /BreadCrumbs/images/T.jpg HTTP/1.1" 404 999
192.168.1.93 - - [03/Feb/2016:14:56:39 +1300] "GET /BreadCrumbs/images/T.jpg HTTP/1.1" 404 999
192.168.1.93 - - [03/Feb/2016:14:56:51 +1300] "GET /BreadCrumbs/rest/TrailManager/GetAllTrailIds HTTP/1.1" 200 363
