127.0.0.1 - - [26/Jul/2015:13:09:33 +1200] "GET / HTTP/1.1" 404 951
192.168.1.66 - - [26/Jul/2015:13:09:42 +1200] "GET /BreadCrumbs/rest/TrailManager/GetAllTrailIds HTTP/1.1" 200 92
192.168.1.66 - - [26/Jul/2015:13:09:44 +1200] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/2101 HTTP/1.1" 200 107
192.168.1.66 - - [26/Jul/2015:13:09:44 +1200] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/2086 HTTP/1.1" 200 98
192.168.1.66 - - [26/Jul/2015:13:09:44 +1200] "GET /BreadCrumbs/images/2052P.jpg HTTP/1.1" 404 1007
192.168.1.66 - - [26/Jul/2015:13:09:44 +1200] "GET /BreadCrumbs/images/2052P.jpg HTTP/1.1" 404 1007
192.168.1.66 - - [26/Jul/2015:13:09:45 +1200] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/2072 HTTP/1.1" 200 105
192.168.1.66 - - [26/Jul/2015:13:09:45 +1200] "GET /BreadCrumbs/images/2052P.jpg HTTP/1.1" 404 1007
192.168.1.66 - - [26/Jul/2015:13:09:45 +1200] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/2068 HTTP/1.1" 200 101
192.168.1.66 - - [26/Jul/2015:13:09:45 +1200] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/2053 HTTP/1.1" 200 99
192.168.1.66 - - [26/Jul/2015:13:09:45 +1200] "GET /BreadCrumbs/images/2052P.jpg HTTP/1.1" 404 1007
192.168.1.66 - - [26/Jul/2015:13:09:46 +1200] "GET /BreadCrumbs/images/2052P.jpg HTTP/1.1" 404 1007
192.168.1.66 - - [26/Jul/2015:13:09:46 +1200] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/2072 HTTP/1.1" 200 105
192.168.1.66 - - [26/Jul/2015:13:09:46 +1200] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/2101 HTTP/1.1" 200 107
192.168.1.66 - - [26/Jul/2015:13:09:46 +1200] "GET /BreadCrumbs/images/2052P.jpg HTTP/1.1" 404 1007
192.168.1.66 - - [26/Jul/2015:13:09:46 +1200] "GET /BreadCrumbs/images/2052P.jpg HTTP/1.1" 404 1007
192.168.1.66 - - [26/Jul/2015:13:10:25 +1200] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/2072 HTTP/1.1" 200 105
192.168.1.66 - - [26/Jul/2015:13:10:25 +1200] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/2053 HTTP/1.1" 200 99
192.168.1.66 - - [26/Jul/2015:13:10:25 +1200] "GET /BreadCrumbs/images/2052P.jpg HTTP/1.1" 404 1007
192.168.1.66 - - [26/Jul/2015:13:10:26 +1200] "GET /BreadCrumbs/images/2052P.jpg HTTP/1.1" 404 1007
192.168.1.66 - - [26/Jul/2015:13:10:26 +1200] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/2072 HTTP/1.1" 200 105
192.168.1.66 - - [26/Jul/2015:13:10:27 +1200] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/2101 HTTP/1.1" 200 107
192.168.1.66 - - [26/Jul/2015:13:10:28 +1200] "GET /BreadCrumbs/images/2052P.jpg HTTP/1.1" 404 1007
192.168.1.66 - - [26/Jul/2015:13:10:28 +1200] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/2072 HTTP/1.1" 200 105
192.168.1.66 - - [26/Jul/2015:13:10:28 +1200] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/2053 HTTP/1.1" 200 99
192.168.1.66 - - [26/Jul/2015:13:10:28 +1200] "GET /BreadCrumbs/images/2052P.jpg HTTP/1.1" 404 1007
192.168.1.66 - - [26/Jul/2015:13:10:29 +1200] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/2072 HTTP/1.1" 200 105
192.168.1.66 - - [26/Jul/2015:13:10:29 +1200] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/2101 HTTP/1.1" 200 107
192.168.1.66 - - [26/Jul/2015:13:10:29 +1200] "GET /BreadCrumbs/images/2052P.jpg HTTP/1.1" 404 1007
192.168.1.66 - - [26/Jul/2015:13:10:29 +1200] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/2072 HTTP/1.1" 200 105
192.168.1.66 - - [26/Jul/2015:13:10:29 +1200] "GET /BreadCrumbs/images/2052P.jpg HTTP/1.1" 404 1007
192.168.1.66 - - [26/Jul/2015:13:10:29 +1200] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/2053 HTTP/1.1" 200 99
192.168.1.66 - - [26/Jul/2015:13:10:29 +1200] "GET /BreadCrumbs/images/2052P.jpg HTTP/1.1" 404 1007
192.168.1.66 - - [26/Jul/2015:13:10:29 +1200] "GET /BreadCrumbs/images/2052P.jpg HTTP/1.1" 404 1007
192.168.1.66 - - [26/Jul/2015:13:10:29 +1200] "GET /BreadCrumbs/images/2052P.jpg HTTP/1.1" 404 1007
192.168.1.66 - - [26/Jul/2015:13:10:29 +1200] "GET /BreadCrumbs/images/2052P.jpg HTTP/1.1" 404 1007
192.168.1.66 - - [26/Jul/2015:13:10:30 +1200] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/2072 HTTP/1.1" 200 105
192.168.1.66 - - [26/Jul/2015:13:10:30 +1200] "GET /BreadCrumbs/images/2052P.jpg HTTP/1.1" 404 1007
192.168.1.66 - - [26/Jul/2015:13:10:30 +1200] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/2101 HTTP/1.1" 200 107
192.168.1.66 - - [26/Jul/2015:13:10:31 +1200] "GET /BreadCrumbs/images/2052P.jpg HTTP/1.1" 404 1007
192.168.1.66 - - [26/Jul/2015:13:10:31 +1200] "GET /BreadCrumbs/rest/TrailManager/AddTrailView/2101 HTTP/1.1" 200 17
192.168.1.66 - - [26/Jul/2015:13:10:32 +1200] "GET /BreadCrumbs/rest/TrailManager/GetAllTrailPoints/2101 HTTP/1.1" 200 17316
192.168.1.66 - - [26/Jul/2015:13:10:32 +1200] "GET /BreadCrumbs/rest/login/getAllCrumbsForATrail/2101 HTTP/1.1" 200 166
192.168.1.66 - - [26/Jul/2015:13:11:02 +1200] "GET /BreadCrumbs/rest/Crumb/GetLatitudeAndLogitudeForCrumb/2102 HTTP/1.1" 200 63
192.168.1.66 - - [26/Jul/2015:13:11:02 +1200] "GET /BreadCrumbs/images/2102.jpg HTTP/1.1" 200 692197
192.168.1.66 - - [26/Jul/2015:13:12:16 +1200] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/2072 HTTP/1.1" 200 105
192.168.1.66 - - [26/Jul/2015:13:12:16 +1200] "GET /BreadCrumbs/images/2052P.jpg HTTP/1.1" 404 1007
192.168.1.66 - - [26/Jul/2015:13:12:37 +1200] "GET /BreadCrumbs/rest/User/GetAllEditibleTrailsForAUser/2052 HTTP/1.1" 200 493
192.168.1.66 - - [26/Jul/2015:13:13:42 +1200] "GET /BreadCrumbs/rest/login/savecrumb/this%20is%20a%20test/2052/2101/-36.8872215/174.789496/icon/.jpg HTTP/1.1" 200 14
192.168.1.66 - - [26/Jul/2015:13:13:44 +1200] "POST /BreadCrumbs/rest/login/savecrumb/2205 HTTP/1.1" 200 14
192.168.1.66 - - [26/Jul/2015:13:13:53 +1200] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/2053 HTTP/1.1" 200 99
192.168.1.66 - - [26/Jul/2015:13:13:53 +1200] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/2072 HTTP/1.1" 200 105
192.168.1.66 - - [26/Jul/2015:13:13:54 +1200] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/2101 HTTP/1.1" 200 107
192.168.1.66 - - [26/Jul/2015:13:13:54 +1200] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/2072 HTTP/1.1" 200 105
192.168.1.66 - - [26/Jul/2015:13:13:54 +1200] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/2053 HTTP/1.1" 200 99
192.168.1.66 - - [26/Jul/2015:13:13:54 +1200] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/2072 HTTP/1.1" 200 105
192.168.1.66 - - [26/Jul/2015:13:13:54 +1200] "GET /BreadCrumbs/rest/TrailManager/GetBaseDetailsForATrail/2101 HTTP/1.1" 200 107
192.168.1.66 - - [26/Jul/2015:13:13:54 +1200] "GET /BreadCrumbs/images/2052P.jpg HTTP/1.1" 404 1007
192.168.1.66 - - [26/Jul/2015:13:13:54 +1200] "GET /BreadCrumbs/images/2052P.jpg HTTP/1.1" 404 1007
192.168.1.66 - - [26/Jul/2015:13:13:54 +1200] "GET /BreadCrumbs/images/2052P.jpg HTTP/1.1" 404 1007
192.168.1.66 - - [26/Jul/2015:13:13:54 +1200] "GET /BreadCrumbs/images/2052P.jpg HTTP/1.1" 404 1007
192.168.1.66 - - [26/Jul/2015:13:13:55 +1200] "GET /BreadCrumbs/images/2052P.jpg HTTP/1.1" 404 1007
